column,note,question,subquestion,response_format
statement_30,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict causes harmony,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_31,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression causes joy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_32,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,defeat causes humiliation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_33,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict causes friendliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_34,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,offense causes complements,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_35,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,intimacy prevents anger,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_36,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pollution prevents recycling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_37,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grumpiness causes sleeplessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_38,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smoke causes panic,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_39,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,self-esteem prevents praise,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_40,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure causes pride,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_41,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,brushing causes toothaches,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_42,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grumpiness prevents sleeplessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_43,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jobs prevent poverty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_44,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,death prevents cancer,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_45,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,injury causes safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_46,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,worry causes uncertainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_47,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,isolation causes happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_48,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,exams prevent stress,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_49,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-loss prevents dieting,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_50,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,criticism causes self-esteem,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_51,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,pride causes success,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_52,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,offense prevents complements,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_53,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,exams cause stress,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_54,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,fear prevents certainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_55,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict prevents jealousy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_56,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,admiration causes complements,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_57,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,symptoms prevent diseases,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_58,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,crime causes laws,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_59,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,friendliness prevents jealousy,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_60,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,agreement prevents conflict,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_61,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,dieting causes weight-gain,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_62,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,self-esteem prevents criticism,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_63,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,violence prevents anger,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_64,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression causes suicide,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_65,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,depression prevents cheerfulness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_66,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cheerfulness prevents depression,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_67,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,exercise prevents heart-disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_68,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smiling causes happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_69,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,arousal causes disgust,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_70,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety prevents nervousness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_71,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness prevents smiling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_72,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,grief causes death,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_73,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,damage causes fire,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_74,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,safety prevents injury,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_75,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sleep causes coffee,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_76,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,embarrassment causes failure,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_77,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,disease prevents vaccines,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_78,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,worry prevents certainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_79,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,coffee prevents sleep,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_80,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,certainty prevents fear,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_81,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,stress prevents preparation,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_82,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,criticism prevents self-esteem,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_83,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,failure prevents pride,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_84,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,diseases prevent symptoms,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_85,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,crying prevents grief,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_86,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,attraction causes beauty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_87,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,praise causes self-esteem,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_88,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jobs cause poverty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_89,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,regret causes happiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_90,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,coffee causes sleep,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_91,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,smell prevents deodorant,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_92,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,happiness prevents regret,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_93,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jobs prevent homelessness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_94,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,preparation causes stress,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_95,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,vaccines prevent disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_96,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,weight-loss causes overeating,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_97,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,attraction prevents beauty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_98,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,self-esteem causes criticism,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_99,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,success prevents pride,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_100,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,preparation prevents stress,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_101,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,disease causes vaccines,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_102,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cancer prevents cigarettes,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_103,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,cars cause pollution,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_104,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,worry causes certainty,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_105,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,jokes cause laughter,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_106,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,isolation prevents loneliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_107,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,laws prevent crime,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_108,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,vaccines causes disease,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_109,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,dieting prevents weight-loss,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_110,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,sleeplessness causes grumpiness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_111,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,panic prevents trembling,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_112,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,lying causes guilt,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_113,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,accidents cause safety,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
statement_114,statements and catch trials presented in a shuffled order. Reshuffled for each participant.,Please indicate how much you disagree or agree with each of the following statements,conflict prevents friendliness,"1-5 Likert scale (strongly disagree, somewhat disagree, neither agree nor disagree, somewhat agree, strongly agree)"
