identifier,statement_ID,survey,stimulus_x,stimulus_y,trial_type,statement,stimuli_group,stimulus_1,relation,stimulus_2
73,statement_198,b,certainty,worry,x_causes_y,certainty causes worry,certainty_worry,certainty,causes,worry
74,statement_225,b,certainty,worry,x_prevents_y,certainty prevents worry,certainty_worry,certainty,prevents,worry
201,statement_104,a,certainty,worry,y_causes_x,worry causes certainty,certainty_worry,worry,causes,certainty
202,statement_78,a,certainty,worry,y_prevents_x,worry prevents certainty,certainty_worry,worry,prevents,certainty
11,statement_8,a,cholesterol,heart-disease,x_causes_y,cholesterol causes heart-disease,cholesterol_heart-disease,cholesterol,causes,heart-disease
12,statement_250,b,cholesterol,heart-disease,x_prevents_y,cholesterol prevents heart-disease,cholesterol_heart-disease,cholesterol,prevents,heart-disease
139,statement_125,a,cholesterol,heart-disease,y_causes_x,heart-disease causes cholesterol,cholesterol_heart-disease,heart-disease,causes,cholesterol
140,statement_182,b,cholesterol,heart-disease,y_prevents_x,heart-disease prevents cholesterol,cholesterol_heart-disease,heart-disease,prevents,cholesterol
13,statement_16,a,cigarettes,cancer,x_causes_y,cigarettes cause cancer,cigarettes_cancer,cigarettes,causes,cancer
14,statement_172,b,cigarettes,cancer,x_prevents_y,cigarettes prevent cancer,cigarettes_cancer,cigarettes,prevents,cancer
141,statement_156,b,cigarettes,cancer,y_causes_x,cancer causes cigarettes,cigarettes_cancer,cancer,causes,cigarettes
142,statement_102,a,cigarettes,cancer,y_prevents_x,cancer prevents cigarettes,cigarettes_cancer,cancer,prevents,cigarettes
75,statement_90,a,coffee,sleep,x_causes_y,coffee causes sleep,coffee_sleep,coffee,causes,sleep
76,statement_79,a,coffee,sleep,x_prevents_y,coffee prevents sleep,coffee_sleep,coffee,prevents,sleep
203,statement_75,a,coffee,sleep,y_causes_x,sleep causes coffee,coffee_sleep,sleep,causes,coffee
204,statement_230,b,coffee,sleep,y_prevents_x,sleep prevents coffee,coffee_sleep,sleep,prevents,coffee
77,statement_126,a,complements,offense,x_causes_y,complements cause offense,complements_offense,complements,causes,offense
78,statement_174,b,complements,offense,x_prevents_y,complements prevent offense,complements_offense,complements,prevents,offense
205,statement_34,a,complements,offense,y_causes_x,offense causes complements,complements_offense,offense,causes,complements
206,statement_52,a,complements,offense,y_prevents_x,offense prevents complements,complements_offense,offense,prevents,complements
79,statement_33,a,conflict,friendliness,x_causes_y,conflict causes friendliness,conflict_friendliness,conflict,causes,friendliness
80,statement_114,a,conflict,friendliness,x_prevents_y,conflict prevents friendliness,conflict_friendliness,conflict,prevents,friendliness
207,statement_170,b,conflict,friendliness,y_causes_x,friendliness causes conflict,conflict_friendliness,friendliness,causes,conflict
208,statement_187,b,conflict,friendliness,y_prevents_x,friendliness prevents conflict,conflict_friendliness,friendliness,prevents,conflict
81,statement_30,a,conflict,harmony,x_causes_y,conflict causes harmony,conflict_harmony,conflict,causes,harmony
82,statement_239,b,conflict,harmony,x_prevents_y,conflict prevents harmony,conflict_harmony,conflict,prevents,harmony
209,statement_245,b,conflict,harmony,y_causes_x,harmony causes conflict,conflict_harmony,harmony,causes,conflict
210,statement_162,b,conflict,harmony,y_prevents_x,harmony prevents conflict,conflict_harmony,harmony,prevents,conflict
83,statement_50,a,criticism,self-esteem,x_causes_y,criticism causes self-esteem,criticism_self-esteem,criticism,causes,self-esteem
84,statement_82,a,criticism,self-esteem,x_prevents_y,criticism prevents self-esteem,criticism_self-esteem,criticism,prevents,self-esteem
211,statement_98,a,criticism,self-esteem,y_causes_x,self-esteem causes criticism,criticism_self-esteem,self-esteem,causes,criticism
212,statement_62,a,criticism,self-esteem,y_prevents_x,self-esteem prevents criticism,criticism_self-esteem,self-esteem,prevents,criticism
15,statement_189,b,death,grief,x_causes_y,death causes grief,death_grief,death,causes,grief
16,statement_135,b,death,grief,x_prevents_y,death prevents grief,death_grief,death,prevents,grief
143,statement_72,a,death,grief,y_causes_x,grief causes death,death_grief,grief,causes,death
144,statement_252,b,death,grief,y_prevents_x,grief prevents death,death_grief,grief,prevents,death
17,statement_32,a,defeat,humiliation,x_causes_y,defeat causes humiliation,defeat_humiliation,defeat,causes,humiliation
18,statement_6,a,defeat,humiliation,x_prevents_y,defeat prevents humiliation,defeat_humiliation,defeat,prevents,humiliation
145,statement_13,a,defeat,humiliation,y_causes_x,humiliation causes defeat,defeat_humiliation,humiliation,causes,defeat
146,statement_14,a,defeat,humiliation,y_prevents_x,humiliation prevents defeat,defeat_humiliation,humiliation,prevents,defeat
85,statement_199,b,deodorant,smell,x_causes_y,deodorant causes smell,deodorant_smell,deodorant,causes,smell
86,statement_173,b,deodorant,smell,x_prevents_y,deodorant prevents smell,deodorant_smell,deodorant,prevents,smell
213,statement_231,b,deodorant,smell,y_causes_x,smell causes deodorant,deodorant_smell,smell,causes,deodorant
214,statement_91,a,deodorant,smell,y_prevents_x,smell prevents deodorant,deodorant_smell,smell,prevents,deodorant
87,statement_217,b,depression,cheerfulness,x_causes_y,depression causes cheerfulness,depression_cheerfulness,depression,causes,cheerfulness
88,statement_65,a,depression,cheerfulness,x_prevents_y,depression prevents cheerfulness,depression_cheerfulness,depression,prevents,cheerfulness
215,statement_167,b,depression,cheerfulness,y_causes_x,cheerfulness causes depression,depression_cheerfulness,cheerfulness,causes,depression
216,statement_66,a,depression,cheerfulness,y_prevents_x,cheerfulness prevents depression,depression_cheerfulness,cheerfulness,prevents,depression
89,statement_31,a,depression,joy,x_causes_y,depression causes joy,depression_joy,depression,causes,joy
90,statement_236,b,depression,joy,x_prevents_y,depression prevents joy,depression_joy,depression,prevents,joy
217,statement_128,a,depression,joy,y_causes_x,joy causes depression,depression_joy,joy,causes,depression
218,statement_137,b,depression,joy,y_prevents_x,joy prevents depression,depression_joy,joy,prevents,depression
19,statement_64,a,depression,suicide,x_causes_y,depression causes suicide,depression_suicide,depression,causes,suicide
20,statement_208,b,depression,suicide,x_prevents_y,depression prevents suicide,depression_suicide,depression,prevents,suicide
147,statement_213,b,depression,suicide,y_causes_x,suicide causes depression,depression_suicide,suicide,causes,depression
148,statement_238,b,depression,suicide,y_prevents_x,suicide prevents depression,depression_suicide,suicide,prevents,depression
91,statement_61,a,dieting,weight-gain,x_causes_y,dieting causes weight-gain,dieting_weight-gain,dieting,causes,weight-gain
92,statement_211,b,dieting,weight-gain,x_prevents_y,dieting prevents weight-gain,dieting_weight-gain,dieting,prevents,weight-gain
219,statement_171,b,dieting,weight-gain,y_causes_x,weight-gain causes dieting,dieting_weight-gain,weight-gain,causes,dieting
220,statement_11,a,dieting,weight-gain,y_prevents_x,weight-gain prevents dieting,dieting_weight-gain,weight-gain,prevents,dieting
21,statement_123,a,dieting,weight-loss,x_causes_y,dieting causes weight-loss,dieting_weight-loss,dieting,causes,weight-loss
22,statement_109,a,dieting,weight-loss,x_prevents_y,dieting prevents weight-loss,dieting_weight-loss,dieting,prevents,weight-loss
149,statement_166,b,dieting,weight-loss,y_causes_x,weight-loss causes dieting,dieting_weight-loss,weight-loss,causes,dieting
150,statement_49,a,dieting,weight-loss,y_prevents_x,weight-loss prevents dieting,dieting_weight-loss,weight-loss,prevents,dieting
23,statement_121,a,diseases,symptoms,x_causes_y,diseases cause symptoms,diseases_symptoms,diseases,causes,symptoms
24,statement_84,a,diseases,symptoms,x_prevents_y,diseases prevent symptoms,diseases_symptoms,diseases,prevents,symptoms
151,statement_248,b,diseases,symptoms,y_causes_x,symptoms cause diseases,diseases_symptoms,symptoms,causes,diseases
152,statement_57,a,diseases,symptoms,y_prevents_x,symptoms prevent diseases,diseases_symptoms,symptoms,prevents,diseases
93,statement_132,b,disgust,arousal,x_causes_y,disgust causes arousal,disgust_arousal,disgust,causes,arousal
94,statement_202,b,disgust,arousal,x_prevents_y,disgust prevents arousal,disgust_arousal,disgust,prevents,arousal
221,statement_69,a,disgust,arousal,y_causes_x,arousal causes disgust,disgust_arousal,arousal,causes,disgust
222,statement_190,b,disgust,arousal,y_prevents_x,arousal prevents disgust,disgust_arousal,arousal,prevents,disgust
25,statement_53,a,exams,stress,x_causes_y,exams cause stress,exams_stress,exams,causes,stress
26,statement_48,a,exams,stress,x_prevents_y,exams prevent stress,exams_stress,exams,prevents,stress
153,statement_4,a,exams,stress,y_causes_x,stress causes exams,exams_stress,stress,causes,exams
154,statement_214,b,exams,stress,y_prevents_x,stress prevents exams,exams_stress,stress,prevents,exams
95,statement_222,b,exercise,heart-disease,x_causes_y,exercise causes heart-disease,exercise_heart-disease,exercise,causes,heart-disease
96,statement_67,a,exercise,heart-disease,x_prevents_y,exercise prevents heart-disease,exercise_heart-disease,exercise,prevents,heart-disease
223,statement_226,b,exercise,heart-disease,y_causes_x,heart-disease causes exercise,exercise_heart-disease,heart-disease,causes,exercise
224,statement_224,b,exercise,heart-disease,y_prevents_x,heart-disease prevents exercise,exercise_heart-disease,heart-disease,prevents,exercise
97,statement_2,a,failure,cheerfulness,x_causes_y,failure causes cheerfulness,failure_cheerfulness,failure,causes,pride
98,statement_165,b,failure,cheerfulness,x_prevents_y,failure prevents cheerfulness,failure_cheerfulness,failure,prevents,pride
225,statement_149,b,failure,cheerfulness,y_causes_x,cheerfulness causes failure,failure_cheerfulness,pride,causes,failure
226,statement_122,a,failure,cheerfulness,y_prevents_x,cheerfulness prevents failure,failure_cheerfulness,pride,prevents,failure
27,statement_228,b,failure,embarrassment,x_causes_y,failure causes embarrassment,failure_embarrassment,failure,causes,embarrassment
28,statement_212,b,failure,embarrassment,x_prevents_y,failure prevents embarrassment,failure_embarrassment,failure,prevents,embarrassment
155,statement_76,a,failure,embarrassment,y_causes_x,embarrassment causes failure,failure_embarrassment,embarrassment,causes,failure
156,statement_21,a,failure,embarrassment,y_prevents_x,embarrassment prevents failure,failure_embarrassment,embarrassment,prevents,failure
99,statement_40,a,failure,pride,x_causes_y,failure causes pride,failure_pride,failure,causes,pride
100,statement_83,a,failure,pride,x_prevents_y,failure prevents pride,failure_pride,failure,prevents,pride
227,statement_256,b,failure,pride,y_causes_x,pride causes failure,failure_pride,pride,causes,failure
228,statement_12,a,failure,pride,y_prevents_x,pride prevents failure,failure_pride,pride,prevents,failure
29,statement_146,b,fire,damage,x_causes_y,fire causes damage,fire_damage,fire,causes,damage
30,statement_9,a,fire,damage,x_prevents_y,fire prevents damage,fire_damage,fire,prevents,damage
157,statement_73,a,fire,damage,y_causes_x,damage causes fire,fire_damage,damage,causes,fire
158,statement_195,b,fire,damage,y_prevents_x,damage prevents fire,fire_damage,damage,prevents,fire
31,statement_232,b,grief,crying,x_causes_y,grief causes crying,grief_crying,grief,causes,crying
32,statement_24,a,grief,crying,x_prevents_y,grief prevents crying,grief_crying,grief,prevents,crying
159,statement_181,b,grief,crying,y_causes_x,crying causes grief,grief_crying,crying,causes,grief
160,statement_85,a,grief,crying,y_prevents_x,crying prevents grief,grief_crying,crying,prevents,grief
33,statement_185,b,happiness,smiling,x_causes_y,happiness causes smiling,happiness_smiling,happiness,causes,smiling
34,statement_71,a,happiness,smiling,x_prevents_y,happiness prevents smiling,happiness_smiling,happiness,prevents,smiling
161,statement_68,a,happiness,smiling,y_causes_x,smiling causes happiness,happiness_smiling,smiling,causes,happiness
162,statement_151,b,happiness,smiling,y_prevents_x,smiling prevents happiness,happiness_smiling,smiling,prevents,happiness
35,statement_240,b,insults,offense,x_causes_y,insults cause offense,insults_offense,insults,causes,offense
36,statement_197,b,insults,offense,x_prevents_y,insults prevent offense,insults_offense,insults,prevents,offense
163,statement_254,b,insults,offense,y_causes_x,offense causes insults,insults_offense,offense,causes,insults
164,statement_247,b,insults,offense,y_prevents_x,offense prevents insults,insults_offense,offense,prevents,insults
101,statement_47,a,isolation,happiness,x_causes_y,isolation causes happiness,isolation_happiness,isolation,causes,happiness
102,statement_242,b,isolation,happiness,x_prevents_y,isolation prevents happiness,isolation_happiness,isolation,prevents,happiness
229,statement_209,b,isolation,happiness,y_causes_x,happiness causes isolation,isolation_happiness,happiness,causes,isolation
230,statement_3,a,isolation,happiness,y_prevents_x,happiness prevents isolation,isolation_happiness,happiness,prevents,isolation
37,statement_203,b,isolation,loneliness,x_causes_y,isolation causes loneliness,isolation_loneliness,isolation,causes,loneliness
38,statement_106,a,isolation,loneliness,x_prevents_y,isolation prevents loneliness,isolation_loneliness,isolation,prevents,loneliness
165,statement_249,b,isolation,loneliness,y_causes_x,loneliness causes isolation,isolation_loneliness,loneliness,causes,isolation
166,statement_145,b,isolation,loneliness,y_prevents_x,loneliness prevents isolation,isolation_loneliness,loneliness,prevents,isolation
39,statement_119,a,jealousy,conflict,x_causes_y,jealousy causes conflict,jealousy_conflict,jealousy,causes,conflict
40,statement_205,b,jealousy,conflict,x_prevents_y,jealousy prevents conflict,jealousy_conflict,jealousy,prevents,conflict
167,statement_159,b,jealousy,conflict,y_causes_x,conflict causes jealousy,jealousy_conflict,conflict,causes,jealousy
168,statement_55,a,jealousy,conflict,y_prevents_x,conflict prevents jealousy,jealousy_conflict,conflict,prevents,jealousy
103,statement_169,b,jealousy,friendliness,x_causes_y,jealousy causes friendliness,jealousy_friendliness,jealousy,causes,friendliness
104,statement_216,b,jealousy,friendliness,x_prevents_y,jealousy prevents friendliness,jealousy_friendliness,jealousy,prevents,friendliness
231,statement_157,b,jealousy,friendliness,y_causes_x,friendliness causes jealousy,jealousy_friendliness,friendliness,causes,jealousy
232,statement_59,a,jealousy,friendliness,y_prevents_x,friendliness prevents jealousy,jealousy_friendliness,friendliness,prevents,jealousy
105,statement_227,b,jobs,homelessness,x_causes_y,jobs cause homelessness,jobs_homelessness,jobs,causes,homelessness
106,statement_93,a,jobs,homelessness,x_prevents_y,jobs prevent homelessness,jobs_homelessness,jobs,prevents,homelessness
233,statement_178,b,jobs,homelessness,y_causes_x,homelessness causes jobs,jobs_homelessness,homelessness,causes,jobs
234,statement_251,b,jobs,homelessness,y_prevents_x,homelessness prevents jobs,jobs_homelessness,homelessness,prevents,jobs
107,statement_88,a,jobs,poverty,x_causes_y,jobs cause poverty,jobs_poverty,jobs,causes,poverty
108,statement_43,a,jobs,poverty,x_prevents_y,jobs prevent poverty,jobs_poverty,jobs,prevents,poverty
235,statement_140,b,jobs,poverty,y_causes_x,poverty causes jobs,jobs_poverty,poverty,causes,jobs
236,statement_148,b,jobs,poverty,y_prevents_x,poverty prevents jobs,jobs_poverty,poverty,prevents,jobs
41,statement_105,a,jokes,laughter,x_causes_y,jokes cause laughter,jokes_laughter,jokes,causes,laughter
42,statement_237,b,jokes,laughter,x_prevents_y,jokes prevent laughter,jokes_laughter,jokes,prevents,laughter
169,statement_188,b,jokes,laughter,y_causes_x,laughter causes jokes,jokes_laughter,laughter,causes,jokes
170,statement_118,a,jokes,laughter,y_prevents_x,laughter prevents jokes,jokes_laughter,laughter,prevents,jokes
109,statement_183,b,laws,crime,x_causes_y,laws cause crime,laws_crime,laws,causes,crime
110,statement_107,a,laws,crime,x_prevents_y,laws prevent crime,laws_crime,laws,prevents,crime
237,statement_58,a,laws,crime,y_causes_x,crime causes laws,laws_crime,crime,causes,laws
238,statement_253,b,laws,crime,y_prevents_x,crime prevents laws,laws_crime,crime,prevents,laws
43,statement_112,a,lying,guilt,x_causes_y,lying causes guilt,lying_guilt,lying,causes,guilt
44,statement_138,b,lying,guilt,x_prevents_y,lying prevents guilt,lying_guilt,lying,prevents,guilt
171,statement_116,a,lying,guilt,y_causes_x,guilt causes lying,lying_guilt,guilt,causes,lying
172,statement_223,b,lying,guilt,y_prevents_x,guilt prevents lying,lying_guilt,guilt,prevents,lying
45,statement_192,b,neglect,sadness,x_causes_y,neglect causes sadness,neglect_sadness,neglect,causes,sadness
46,statement_196,b,neglect,sadness,x_prevents_y,neglect prevents sadness,neglect_sadness,neglect,prevents,sadness
173,statement_201,b,neglect,sadness,y_causes_x,sadness causes neglect,neglect_sadness,sadness,causes,neglect
174,statement_234,b,neglect,sadness,y_prevents_x,sadness prevents neglect,neglect_sadness,sadness,prevents,neglect
111,statement_177,b,overeating,weightloss,x_causes_y,overeating causes weightloss,overeating_weightloss,overeating,causes,weightloss
112,statement_186,b,overeating,weightloss,x_prevents_y,overeating prevents weightloss,overeating_weightloss,overeating,prevents,weightloss
239,statement_96,a,overeating,weightloss,y_causes_x,weight-loss causes overeating,overeating_weightloss,weightloss,causes,overeating
240,statement_161,b,overeating,weightloss,y_prevents_x,weight-loss prevents overeating,overeating_weightloss,weightloss,prevents,overeating
47,statement_124,a,panic,trembling,x_causes_y,panic causes trembling,panic_trembling,panic,causes,trembling
48,statement_111,a,panic,trembling,x_prevents_y,panic prevents trembling,panic_trembling,panic,prevents,trembling
175,statement_130,b,panic,trembling,y_causes_x,trembling causes panic,panic_trembling,trembling,causes,panic
176,statement_1,a,panic,trembling,y_prevents_x,trembling prevents panic,panic_trembling,trembling,prevents,panic
49,statement_160,b,poverty,homelessness,x_causes_y,poverty causes homelessness,poverty_homelessness,poverty,causes,homelessness
50,statement_233,b,poverty,homelessness,x_prevents_y,poverty prevents homelessness,poverty_homelessness,poverty,prevents,homelessness
177,statement_150,b,poverty,homelessness,y_causes_x,homelessness causes poverty,poverty_homelessness,homelessness,causes,poverty
178,statement_22,a,poverty,homelessness,y_prevents_x,homelessness prevents poverty,poverty_homelessness,homelessness,prevents,poverty
51,statement_87,a,praise,self-esteem,x_causes_y,praise causes self-esteem,praise_self-esteem,praise,causes,self-esteem
52,statement_133,b,praise,self-esteem,x_prevents_y,praise prevents self-esteem,praise_self-esteem,praise,prevents,self-esteem
179,statement_168,b,praise,self-esteem,y_causes_x,self-esteem causes praise,praise_self-esteem,self-esteem,causes,praise
180,statement_39,a,praise,self-esteem,y_prevents_x,self-esteem prevents praise,praise_self-esteem,self-esteem,prevents,praise
113,statement_94,a,preparation,stress,x_causes_y,preparation causes stress,preparation_stress,preparation,causes,stress
114,statement_100,a,preparation,stress,x_prevents_y,preparation prevents stress,preparation_stress,preparation,prevents,stress
241,statement_154,b,preparation,stress,y_causes_x,stress causes preparation,preparation_stress,stress,causes,preparation
242,statement_81,a,preparation,stress,y_prevents_x,stress prevents preparation,preparation_stress,stress,prevents,preparation
115,statement_200,b,recycling,pollution,x_causes_y,recycling causes pollution,recycling_pollution,recycling,causes,pollution
116,statement_193,b,recycling,pollution,x_prevents_y,recycling prevents pollution,recycling_pollution,recycling,prevents,pollution
243,statement_179,b,recycling,pollution,y_causes_x,pollution causes recycling,recycling_pollution,pollution,causes,recycling
244,statement_36,a,recycling,pollution,y_prevents_x,pollution prevents recycling,recycling_pollution,pollution,prevents,recycling
117,statement_89,a,regret,happiness,x_causes_y,regret causes happiness,regret_happiness,regret,causes,happiness
118,statement_221,b,regret,happiness,x_prevents_y,regret prevents happiness,regret_happiness,regret,prevents,happiness
245,statement_207,b,regret,happiness,y_causes_x,happiness causes regret,regret_happiness,happiness,causes,regret
246,statement_92,a,regret,happiness,y_prevents_x,happiness prevents regret,regret_happiness,happiness,prevents,regret
53,statement_153,b,rejection,embarrassment,x_causes_y,rejection causes embarrassment,rejection_embarrassment,rejection,causes,embarrassment
54,statement_115,a,rejection,embarrassment,x_prevents_y,rejection prevents embarrassment,rejection_embarrassment,rejection,prevents,embarrassment
181,statement_147,b,rejection,embarrassment,y_causes_x,embarrassment causes rejection,rejection_embarrassment,embarrassment,causes,rejection
182,statement_176,b,rejection,embarrassment,y_prevents_x,embarrassment prevents rejection,rejection_embarrassment,embarrassment,prevents,rejection
55,statement_143,b,resentment,divorce,x_causes_y,resentment causes divorce,resentment_divorce,resentment,causes,divorce
56,statement_219,b,resentment,divorce,x_prevents_y,resentment prevents divorce,resentment_divorce,resentment,prevents,divorce
183,statement_184,b,resentment,divorce,y_causes_x,divorce causes resentment,resentment_divorce,divorce,causes,resentment
184,statement_218,b,resentment,divorce,y_prevents_x,divorce prevents resentment,resentment_divorce,divorce,prevents,resentment
119,statement_136,b,safety,accidents,x_causes_y,safety causes accidents,safety_accidents,safety,causes,accidents
120,statement_246,b,safety,accidents,x_prevents_y,safety prevents accidents,safety_accidents,safety,prevents,accidents
247,statement_113,a,safety,accidents,y_causes_x,accidents cause safety,safety_accidents,accidents,causes,safety
248,statement_27,a,safety,accidents,y_prevents_x,accidents prevent safety,safety_accidents,accidents,prevents,safety
121,statement_120,a,safety,injury,x_causes_y,safety causes injury,safety_injury,safety,causes,injury
122,statement_74,a,safety,injury,x_prevents_y,safety prevents injury,safety_injury,safety,prevents,injury
249,statement_45,a,safety,injury,y_causes_x,injury causes safety,safety_injury,injury,causes,safety
250,statement_131,b,safety,injury,y_prevents_x,injury prevents safety,safety_injury,injury,prevents,safety
123,statement_19,a,safety,nervousness,x_causes_y,safety causes nervousness,safety_nervousness,safety,causes,nervousness
124,statement_70,a,safety,nervousness,x_prevents_y,safety prevents nervousness,safety_nervousness,safety,prevents,nervousness
251,statement_17,a,safety,nervousness,y_causes_x,nervousness causes safety,safety_nervousness,nervousness,causes,safety
252,statement_20,a,safety,nervousness,y_prevents_x,nervousness prevents safety,safety_nervousness,nervousness,prevents,safety
57,statement_110,a,sleeplessness,grumpiness,x_causes_y,sleeplessness causes grumpiness,sleeplessness_grumpiness,sleeplessness,causes,grumpiness
58,statement_15,a,sleeplessness,grumpiness,x_prevents_y,sleeplessness prevents grumpiness,sleeplessness_grumpiness,sleeplessness,prevents,grumpiness
185,statement_37,a,sleeplessness,grumpiness,y_causes_x,grumpiness causes sleeplessness,sleeplessness_grumpiness,grumpiness,causes,sleeplessness
186,statement_42,a,sleeplessness,grumpiness,y_prevents_x,grumpiness prevents sleeplessness,sleeplessness_grumpiness,grumpiness,prevents,sleeplessness
59,statement_38,a,smoke,panic,x_causes_y,smoke causes panic,smoke_panic,smoke,causes,panic
60,statement_5,a,smoke,panic,x_prevents_y,smoke prevents panic,smoke_panic,smoke,prevents,panic
187,statement_215,b,smoke,panic,y_causes_x,panic causes smoke,smoke_panic,panic,causes,smoke
188,statement_127,a,smoke,panic,y_prevents_x,panic prevents smoke,smoke_panic,panic,prevents,smoke
125,statement_25,a,socializing,loneliness,x_causes_y,socializing causes loneliness,socializing_loneliness,socializing,causes,loneliness
126,statement_220,b,socializing,loneliness,x_prevents_y,socializing prevents loneliness,socializing_loneliness,socializing,prevents,loneliness
253,statement_7,a,socializing,loneliness,y_causes_x,loneliness causes socializing,socializing_loneliness,loneliness,causes,socializing
254,statement_141,b,socializing,loneliness,y_prevents_x,loneliness prevents socializing,socializing_loneliness,loneliness,prevents,socializing
61,statement_243,b,success,pride,x_causes_y,success causes pride,success_pride,success,causes,pride
62,statement_99,a,success,pride,x_prevents_y,success prevents pride,success_pride,success,prevents,pride
189,statement_51,a,success,pride,y_causes_x,pride causes success,success_pride,pride,causes,success
190,statement_244,b,success,pride,y_prevents_x,pride prevents success,success_pride,pride,prevents,success
63,statement_164,b,uncertainty,worry,x_causes_y,uncertainty causes worry,uncertainty_worry,uncertainty,causes,worry
64,statement_23,a,uncertainty,worry,x_prevents_y,uncertainty prevents worry,uncertainty_worry,uncertainty,prevents,worry
191,statement_46,a,uncertainty,worry,y_causes_x,worry causes uncertainty,uncertainty_worry,worry,causes,uncertainty
192,statement_235,b,uncertainty,worry,y_prevents_x,worry prevents uncertainty,uncertainty_worry,worry,prevents,uncertainty
127,statement_108,a,vaccines,disease,x_causes_y,vaccines cause disease,vaccines_disease,vaccines,causes,disease
128,statement_95,a,vaccines,disease,x_prevents_y,vaccines prevent disease,vaccines_disease,vaccines,prevents,disease
255,statement_101,a,vaccines,disease,y_causes_x,disease causes vaccines,vaccines_disease,disease,causes,vaccines
256,statement_77,a,vaccines,disease,y_prevents_x,disease prevents vaccines,vaccines_disease,disease,prevents,vaccines
