"stimulus_pair","statement","relation","es","es_ci_lower","es_ci_upper"
"isolation happiness","happiness prevents isolation","prevent",2.03,1.54,2.52
"anger intimacy","intimacy prevents anger","prevent",1.94,1.45,2.42
"criticism self-esteem","criticism prevents self-esteem","prevent",1.91,1.43,2.39
"jealousy friendliness","friendliness prevents jealousy","prevent",1.82,1.34,2.3
"complements offense","offense prevents complements","prevent",1.81,1.33,2.29
"cancer death","death prevents cancer","prevent",1.8,1.32,2.27
"jobs poverty","poverty prevents jobs","prevent",1.65,1.18,2.12
"failure cheerfulness","cheerfulness prevents failure","prevent",1.64,1.17,2.11
"preparation stress","stress prevents preparation","prevent",1.64,1.17,2.11
"jobs homelessness","homelessness prevents jobs","prevent",1.61,1.14,2.07
"success pride","pride prevents success","prevent",1.59,1.13,2.05
"disgust arousal","arousal prevents disgust","prevent",1.54,1.08,2
"lying guilt","guilt prevents lying","prevent",1.46,1,1.92
"safety accidents","accidents prevent safety","prevent",1.45,0.99,1.9
"safety nervousness","nervousness prevents safety","prevent",1.43,0.97,1.88
"cars pollution","pollution prevents cars","prevent",1.28,0.83,1.73
"overeating weightloss","weightloss prevents overeating","prevent",1.27,0.82,1.72
"coffee sleep","sleep prevents coffee","prevent",1.18,0.74,1.62
"exercise heart-disease","heart-disease prevents exercise","prevent",1.17,0.73,1.61
"resentment divorce","divorce prevents resentment","prevent",1.14,0.7,1.58
"safety injury","injury prevents safety","prevent",1.13,0.69,1.57
"failure embarrassment","embarrassment prevents failure","prevent",1.12,0.68,1.56
"jealousy conflict","conflict prevents jealousy","prevent",1.08,0.64,1.52
"dieting weight-loss","weight-loss prevents dieting","prevent",1.05,0.61,1.49
"criticism self-esteem","self-esteem prevents criticism","prevent",1.02,0.58,1.46
"cigarettes cancer","cancer prevents cigarettes","prevent",0.98,0.54,1.41
"exams stress","stress prevents exams","prevent",0.95,0.52,1.38
"depression suicide","suicide prevents depression","prevent",0.95,0.52,1.38
"dieting weight-gain","weight-gain prevents dieting","prevent",0.92,0.49,1.35
"failure pride","pride prevents failure","prevent",0.91,0.48,1.34
"praise self-esteem","self-esteem prevents praise","prevent",0.88,0.45,1.31
"brushing toothaches","toothaches prevent brushing","prevent",0.82,0.39,1.25
"sleeplessness grumpiness","grumpiness prevents sleeplessness","prevent",0.81,0.38,1.24
"fire damage","damage prevents fire","prevent",0.79,0.36,1.22
"rejection embarrassment","embarrassment prevents rejection","prevent",0.76,0.33,1.19
"defeat humiliation","humiliation prevents defeat","prevent",0.76,0.33,1.19
"rejection embarrassment","rejection prevents embarrassment","prevent",0.75,0.32,1.18
"insults offense","offense prevents insults","prevent",0.74,0.31,1.17
"failure embarrassment","failure prevents embarrassment","prevent",0.71,0.28,1.14
"grief crying","crying prevents grief","prevent",0.69,0.26,1.11
"uncertainty worry","worry prevents uncertainty","prevent",0.68,0.25,1.1
"cholesterol heart-disease","cholesterol prevents heart-disease","prevent",0.65,0.22,1.07
"happiness smiling","happiness prevents smiling","prevent",0.64,0.21,1.06
"praise self-esteem","praise prevents self-esteem","prevent",0.64,0.21,1.06
"neglect sadness","sadness prevents neglect","prevent",0.64,0.21,1.06
"exams stress","exams prevent stress","prevent",0.63,0.21,1.05
"jealousy conflict","jealousy prevents conflict","prevent",0.62,0.2,1.04
"cholesterol heart-disease","heart-disease prevents cholesterol","prevent",0.61,0.19,1.03
"anger violence","anger prevents violence","prevent",0.6,0.18,1.02
"defeat humiliation","defeat prevents humiliation","prevent",0.6,0.18,1.02
"smoke panic","smoke prevents panic","prevent",0.59,0.17,1.01
"panic trembling","trembling prevents panic","prevent",0.58,0.16,1
"sleeplessness grumpiness","sleeplessness prevents grumpiness","prevent",0.56,0.14,0.98
"admiration complements","complements prevent admiration","prevent",0.56,0.14,0.98
"admiration complements","admiration prevents complements","prevent",0.55,0.13,0.97
"success pride","success prevents pride","prevent",0.55,0.13,0.97
"dieting weight-loss","dieting prevents weight-loss","prevent",0.53,0.11,0.95
"lying guilt","lying prevents guilt","prevent",0.53,0.11,0.95
"death grief","death prevents grief","prevent",0.52,0.1,0.94
"beauty attraction","attraction prevents beauty","prevent",0.51,0.09,0.93
"cigarettes cancer","cigarettes prevent cancer","prevent",0.5,0.08,0.92
"neglect sadness","neglect prevents sadness","prevent",0.5,0.08,0.92
"happiness smiling","smiling prevents happiness","prevent",0.5,0.08,0.92
"jokes laughter","laughter prevents jokes","prevent",0.5,0.08,0.92
"uncertainty worry","uncertainty prevents worry","prevent",0.48,0.06,0.9
"isolation loneliness","isolation prevents loneliness","prevent",0.47,0.05,0.89
"beauty attraction","beauty prevents attraction","prevent",0.46,0.04,0.88
"anger violence","violence prevents anger","prevent",0.46,0.04,0.88
"diseases symptoms","symptoms prevent diseases","prevent",0.46,0.04,0.88
"cars pollution","cars prevent pollution","prevent",0.44,0.02,0.86
"vaccines disease","disease prevents vaccines","prevent",0.42,0,0.84
"smoke panic","panic prevents smoke","prevent",0.42,0,0.84
"panic trembling","panic prevents trembling","prevent",0.4,-0.02,0.82
"isolation loneliness","loneliness prevents isolation","prevent",0.39,-0.03,0.81
"recycling pollution","pollution prevents recycling","prevent",0.39,-0.03,0.81
"jokes laughter","jokes prevent laughter","prevent",0.37,-0.05,0.79
"poverty homelessness","homelessness prevents poverty","prevent",0.35,-0.07,0.77
"grief crying","grief prevents crying","prevent",0.34,-0.08,0.76
"death grief","grief prevents death","prevent",0.34,-0.08,0.76
"fire damage","fire prevents damage","prevent",0.33,-0.09,0.75
"insults offense","insults prevent offense","prevent",0.32,-0.1,0.74
"laws crime","crime prevents laws","prevent",0.3,-0.12,0.72
"poverty homelessness","poverty prevents homelessness","prevent",0.25,-0.17,0.67
"cancer death","cancer prevents death","prevent",0.24,-0.18,0.66
"resentment divorce","resentment prevents divorce","prevent",0.22,-0.2,0.64
"diseases symptoms","diseases prevent symptoms","prevent",0.2,-0.22,0.62
"deodorant smell","smell prevents deodorant","prevent",0.2,-0.22,0.62
"depression suicide","depression prevents suicide","prevent",0.01,-0.41,0.43
